login,date,equity,balance,ts
11325036,48208826,0,0,0
11325036,48209480,0,0,0
11325036,48209907,0,0,0
11325036,48219105,0,0,0
11325036,48219248,0,0,0
11325036,48219860,0,0,0
11325036,48220425,0,0,0
11325036,48220943,0,0,0
11325036,48221587,0,0,0
11325036,48222157,0,0,0
11325036,48222813,0,0,0
11325036,48225570,0,0,0
11325036,48225970,0,0,0
11325036,48226358,0,0,0
11325036,48226626,0,0,0
11325036,48229696,0,0,0
11325036,48230031,0,0,0
11325036,48236489,0,0,0
11325036,48237867,0,0,0
11325036,48240376,0,0,0
11325036,48241369,0,0,0
11325036,48242502,0,0,0
11325036,48243440,0,0,0
11325036,48247748,0,0,0
11325036,48293875,0,0,0
11325036,48294887,0,0,0
11325036,48295850,0,0,0
11325036,48297263,0,0,0
11325036,48297952,0,0,0
11325036,48298396,0,0,0
11325036,48298855,0,0,0
11325036,48303804,0,0,0
11325036,48319006,0,0,0
11325036,48320110,0,0,0
11325036,48323688,0,0,0
11325036,48324193,0,0,0
11325036,48324689,0,0,0
11325036,48325057,0,0,0
11325036,48325609,0,0,0
11325036,48328458,0,0,0
11325036,48329233,0,0,0
11325036,48329721,0,0,0
11325036,48329964,0,0,0
11325036,48330338,0,0,0
11325036,48331810,0,0,0
11325036,48621506,0,0,0
11325036,48637128,0,0,0
11325036,48646210,0,0,0
11325036,48647532,0,0,0
11325036,48648889,0,0,0
11325036,48649436,0,0,0
11325036,48658300,0,0,0
11325036,48682514,0,0,0
11325036,48686208,0,0,0
11325036,48687111,0,0,0
11325036,48688560,0,0,0
11325036,48689799,0,0,0
11325036,48690534,0,0,0
11325036,48693113,0,0,0
11325036,48693486,0,0,0
11325036,48711703,0,0,0
11325036,48712385,0,0,0
11325036,48713597,0,0,0
11325036,48714318,0,0,0
11325036,48717728,0,0,0
11325036,48718023,0,0,0
11325036,48718475,0,0,0
11325036,48725793,0,0,0
11325036,48726705,0,0,0
11325036,48727243,0,0,0
11325036,48728415,0,0,0
11325036,48729642,0,0,0
11325036,48730167,0,0,0
11325036,48733506,0,0,0
11325036,48733609,0,0,0
11325036,48734319,0,0,0
11325036,48734734,0,0,0
11325036,48735559,0,0,0
11325036,48735735,0,0,0
11325036,48736739,0,0,0
11325036,48737104,0,0,0
11325036,48737684,0,0,0
11325036,48924183,0,0,0
11325036,48926082,0,0,0
11325036,48930955,0,0,0
11325036,48935185,0,0,0
11325036,48936194,0,0,0
11325036,48938016,0,0,0
11325036,48940434,0,0,0
11325036,48941914,0,0,0
11325036,48943832,0,0,0
11325036,48945053,0,0,0
11325036,48949306,0,0,0
11325036,48950802,0,0,0
11325036,48959050,0,0,0
11325036,48967704,0,0,0
11325036,48968316,0,0,0
11325036,48969118,0,0,0
11325036,48971369,0,0,0
11325036,48987660,0,0,0
11325036,49011094,0,0,0
11325036,49011755,0,0,0
11325036,49103697,0,0,0
11325036,49103832,0,0,0
11325036,49105000,0,0,0
11325036,49105625,0,0,0
11325036,49107348,0,0,0
11325036,49109797,0,0,0
11325036,49110561,0,0,0
11325036,49148465,0,0,0
11325036,49149854,0,0,0
11325036,49159577,0,0,0
11325036,49163806,0,0,0
11325036,49183453,0,0,0
11325036,49184546,0,0,0
11325036,49271321,0,0,0
11325036,49283759,0,0,0
11325036,49284853,0,0,0
11325036,49286015,0,0,0
11325036,49288275,0,0,0
11325036,49292089,0,0,0
11325036,49292902,0,0,0
11325036,49293309,0,0,0
11325036,49294091,0,0,0
11325036,49296371,0,0,0
11325036,49296431,0,0,0
11325036,49297233,0,0,0
11325036,49299236,0,0,0
11325036,49301492,0,0,0
11325036,49306637,0,0,0
11325036,49307203,0,0,0
11325036,49307590,0,0,0
11325036,49308161,0,0,0
11325036,49310204,0,0,0
11325036,49313423,0,0,0
11325036,49315312,0,0,0
11325036,49316216,0,0,0
11325036,49318311,0,0,0
11325036,49578663,0,0,0
11325036,49578774,0,0,0
11325036,49579013,0,0,0
11325036,49581329,0,0,0
11325036,49581441,0,0,0
11325036,49581519,0,0,0
11325036,49581833,0,0,0
11325036,49582156,0,0,0
11325036,49583757,0,0,0
11325036,49583970,0,0,0
11325036,49584402,0,0,0
11325036,49584626,0,0,0
11325036,49585900,0,0,0
11325036,49586803,0,0,0
11325036,49587271,0,0,0
11325036,49587783,0,0,0
11325036,49588033,0,0,0
11325036,49588847,0,0,0
11325036,49589538,0,0,0
11325036,49591359,0,0,0
11325036,49593297,0,0,0
11325036,49593502,0,0,0
11325036,49593907,0,0,0
11325036,49594547,0,0,0
11325036,49595162,0,0,0
11325036,49596238,0,0,0
11325036,49597807,0,0,0
11325036,49598166,0,0,0
11325036,49601515,0,0,0
11325036,49602184,0,0,0
11325036,49604302,0,0,0
11325036,49645923,0,0,0
11325036,49647125,0,0,0
11325036,49647896,0,0,0
11325036,49648259,0,0,0
11325036,49778630,0,0,0
11325036,49779303,0,0,0
11325036,49779588,0,0,0
11325036,49783247,0,0,0
11325036,49783579,0,0,0
11325036,49785659,0,0,0
11325036,49788443,0,0,0
11325036,49788578,0,0,0
11325036,49788856,0,0,0
11325036,49789496,0,0,0
11325036,49789892,0,0,0
11325036,49791377,0,0,0
11325036,49791704,0,0,0
11325036,49793154,0,0,0
11325036,49793977,0,0,0
11325036,49794152,0,0,0
11325036,49794522,0,0,0
11325036,49795411,0,0,0
11325036,49795900,0,0,0
11325036,49797931,0,0,0
11325036,49798384,0,0,0
11325036,49798680,0,0,0
11325036,49798821,0,0,0
11325036,49798866,0,0,0
11325036,49798893,0,0,0
11325036,49798909,0,0,0
11325036,49798919,0,0,0
11325036,49802873,0,0,0
11325036,49803069,0,0,0
11325036,49812332,0,0,0
11325036,49813845,0,0,0
11325036,49814565,0,0,0
11325036,49816530,0,0,0
11325036,49817276,0,0,0
11325036,49817836,0,0,0
11325036,49820895,0,0,0
11325036,49821026,0,0,0
11325036,49821482,0,0,0
11325036,49821847,0,0,0
11325036,49822960,0,0,0
11325036,49826384,0,0,0
11325036,49829967,0,0,0
11325036,49831789,0,0,0
11325036,49832670,0,0,0
11325036,49833287,0,0,0
11325036,49835909,0,0,0
11325036,49871216,0,0,0
11325036,2026-06-15,17717.19,17717.19,1781556984
11325036,2026-06-16,17767.06,17767.06,1781593251
11325036,2026-06-17,17873.03,17873.03,1781658002
97060181,866594613,0,0,0
97060181,866594874,0,0,0
97060181,866594893,0,0,0
97060181,866598920,0,0,0
97060181,866598994,0,0,0
97060181,866606113,0,0,0
97060181,866606248,0,0,0
97060181,866662286,0,0,0
97060181,866662374,0,0,0
97060181,866705964,0,0,0
97060181,866706004,0,0,0
