login,posId,symbol,type,volume,openTime,openPrice,closeTime,closePrice,profit,swap,commission,date
97060181,891240567,XAUUSD.v,buy,0.05,1782105271,4186.11,1782116979,4192.19,30.4,0.0,0.0,2026-06-22
97060181,891240592,XAUUSD.v,sell,0.02,1782105272,4185.89,1782116979,4192.61,-13.44,0.0,0.0,2026-06-22
97060181,891369033,XAUUSD.v,buy,0.06,1782108603,4181.23,1782116979,4192.19,65.76,0.0,0.0,2026-06-22
97060181,891369087,XAUUSD.v,sell,0.03,1782108604,4180.57,1782116979,4192.61,-36.12,0.0,0.0,2026-06-22
97060181,891387855,XAUUSD.v,sell,0.02,1782108899,4178.82,1782109031,4177.02,3.6,0.0,0.0,2026-06-22
97060181,891390243,XAUUSD.v,sell,0.03,1782108912,4179.78,1782109034,4174.6,15.54,0.0,0.0,2026-06-22
97060181,891390274,XAUUSD.v,buy,0.01,1782108912,4180.11,1782109034,4174.18,-5.93,0.0,0.0,2026-06-22
97060181,891402446,XAUUSD.v,sell,0.02,1782109041,4174.61,1782111395,4172.85,3.52,0.0,0.0,2026-06-22
97060181,891402463,XAUUSD.v,buy,0.07,1782109041,4175.16,1782116979,4192.19,119.21,0.0,0.0,2026-06-22
97060181,891402578,XAUUSD.v,sell,0.03,1782109042,4174.83,1782116979,4192.61,-53.34,0.0,0.0,2026-06-22
97060181,891403397,XAUUSD.v,sell,0.03,1782109048,4175.55,1782111400,4172.63,8.76,0.0,0.0,2026-06-22
97060181,891403419,XAUUSD.v,buy,0.01,1782109049,4176.01,1782111400,4172.21,-3.8,0.0,0.0,2026-06-22
97060181,891421412,XAUUSD.v,sell,0.03,1782109510,4179.87,1782111400,4172.63,21.72,0.0,0.0,2026-06-22
97060181,891421434,XAUUSD.v,buy,0.01,1782109510,4180.29,1782111400,4172.21,-8.08,0.0,0.0,2026-06-22
97060181,891465147,XAUUSD.v,sell,0.02,1782111407,4172.14,1782143782,4195.88,-47.48,0.0,0.0,2026-06-22
97060181,891476622,XAUUSD.v,sell,0.03,1782111818,4172.63,1782143782,4195.88,-69.75,0.0,0.0,2026-06-22
97060181,891476630,XAUUSD.v,buy,0.01,1782111818,4173.05,1782143782,4195.46,22.41,0.0,0.0,2026-06-22
97060181,891487835,XAUUSD.v,sell,0.03,1782112180,4177.85,1782143782,4195.88,-54.09,0.0,0.0,2026-06-22
97060181,891488104,XAUUSD.v,buy,0.01,1782112180,4178.27,1782143782,4195.46,17.19,0.0,0.0,2026-06-22
97060181,891560448,XAUUSD.v,sell,0.04,1782115678,4181.78,1782143782,4195.88,-56.4,0.0,0.0,2026-06-22
97060181,891560493,XAUUSD.v,buy,0.02,1782115678,4182.19,1782143782,4195.46,26.54,0.0,0.0,2026-06-22
